분류,분류.1,항목,단위,통계자료,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
오염관리관련건설업,소음및진동저감시설건설업,환경부문 매출액,억원,원자료,"1,757.84","7,234.01",686.71,"7,970.77","8,211.17","8,220.74","8,376.84","8,536.06","8,270.3"
오염관리관련서비스업,소계,매출액,억원,원자료,"1,327,049.98","1,504,802.11","1,413,899.48","1,637,217.48","1,629,150.62","1,607,891.78","1,587,581.29","1,612,510.66","1,625,249.16"
오염관리관련서비스업,소계,환경부문 매출액,억원,원자료,"212,671.72","136,745.13","133,887.2","126,809.28","125,580.46","127,527.44","129,788.87","130,566.29","133,123.49"
오염관리관련서비스업,폐기물관리관련서비스업,매출액,억원,원자료,"421,468.61","229,416.63","54,070.69","102,803.16","103,375.87","106,087.71","100,027.19","95,425.93","98,218.96"
오염관리관련서비스업,폐기물관리관련서비스업,환경부문 매출액,억원,원자료,"108,671.51","37,585.17","23,936.5","28,135.28","28,189.86","28,601.05","28,829.86","29,060.83","29,796.64"
오염관리관련서비스업,"자원순환관련분석,자료수집및평가서비스업",매출액,억원,원자료,0,"13,469.89","2,326.69","11,623.42","11,746.29","12,056.49","13,952.78","14,740.24","15,052.21"
오염관리관련서비스업,"자원순환관련분석,자료수집및평가서비스업",환경부문 매출액,억원,원자료,0,"9,973.27",396.82,"3,409.63","3,435.86","3,489.43","3,496.37","3,504.55","3,541.34"
오염관리관련서비스업,오폐수관리관련서비스업,매출액,억원,원자료,"60,166.34","63,223.99","170,033.85","160,167.08","166,766.85","152,540.6","121,385.83","120,172.33","121,627.66"
오염관리관련서비스업,오폐수관리관련서비스업,환경부문 매출액,억원,원자료,"23,637.48","11,494.61","25,450.63","25,006.76","25,849.11","26,752.8","27,582.15","27,443.44","28,346.97"
오염관리관련서비스업,"물관련분석,자료수집및평가서비스업",매출액,억원,원자료,0,"21,589.41","9,257.98","13,998.54","15,265.56","10,843.25","14,165.14","14,250.34","14,575.97"
오염관리관련서비스업,"물관련분석,자료수집및평가서비스업",환경부문 매출액,억원,원자료,0,"6,009.11","7,600.74","9,531.86","9,872.39","10,041.15","10,061.24","10,082.6","10,460.09"
오염관리관련서비스업,"토양,지표수,지하수개선및정화관련서비스업",매출액,억원,원자료,"337,685.75","458,651.41","11,839.03","303,397.69","316,206.55","313,962.84","323,106.43","332,476.6","332,378.46"
오염관리관련서비스업,"토양,지표수,지하수개선및정화관련서비스업",환경부문 매출액,억원,원자료,"11,461.13","6,207.23","3,657.86","5,710.79","5,940.17","5,962.2","6,003.9","6,046.12","6,085.38"
오염관리관련서비스업,"환경복원및복구관련분석,자료수집및평가서비스업",매출액,억원,원자료,0,"38,855.02","5,567.75","8,214.42","7,690.82","10,152.96","19,818.74","23,822.14","24,422.22"
오염관리관련서비스업,"환경복원및복구관련분석,자료수집및평가서비스업",환경부문 매출액,억원,원자료,0,"5,858.67",686.92,303.27,277.33,276.49,263.8,264.86,273.24
오염관리관련서비스업,"기후대응관련분석,자료수집및평가서비스업",매출액,억원,원자료,0,"3,170.85","97,565.98",282.12,883.35,"1,692.31","2,546.22","2,941.57","2,964.48"
오염관리관련서비스업,"기후대응관련분석,자료수집및평가서비스업",환경부문 매출액,억원,원자료,0,696.15,"18,474.83",158.32,743.48,158.08,163.77,170.11,173.05
오염관리관련서비스업,대기오염통제관련서비스업,매출액,억원,원자료,682.38,"1,040.25","8,343.66",922.9,271.37,"1,842.14","5,271.72","5,282.13","5,303.9"
오염관리관련서비스업,대기오염통제관련서비스업,환경부문 매출액,억원,원자료,288.42,922.05,"6,730.91",798.92,153.08,764.74,776.21,787.83,788.94
오염관리관련서비스업,"대기관련분석,자료수집및평가서비스업",매출액,억원,원자료,0,"11,374.6","1,532.75","5,822.96","6,386.75","12,982.72","18,102.51","19,804.15","19,732"
오염관리관련서비스업,"대기관련분석,자료수집및평가서비스업",환경부문 매출액,억원,원자료,0,"3,465.25","1,056.27","1,019.45","1,115.14","1,157.26","1,101.53","1,158.84","1,132.01"
오염관리관련서비스업,환경보건대응서비스업,매출액,억원,원자료,0,"82,952.51","19,001.26","24,790.35","23,919.28","21,410.98","25,140.65","26,498.31","27,526.76"
오염관리관련서비스업,환경보건대응서비스업,환경부문 매출액,억원,원자료,0,"7,997.59","6,723.1","4,749.87","4,583.05","4,432.73","4,640.76","4,858.78","5,017.43"
오염관리관련서비스업,"환경안전보건관련분석,자료수집및평가서비스업",매출액,억원,원자료,0,"3,961.53",669.74,"66,870.74","69,969.51","72,866.78","75,929.15","79,349.45","80,325.93"
오염관리관련서비스업,"환경안전보건관련분석,자료수집및평가서비스업",환경부문 매출액,억원,원자료,0,"3,308.92",442.85,350.8,361.93,377.96,403.68,433.59,437.37
오염관리관련서비스업,"지속가능환경자원관련분석,자료수집및평가서비스업",매출액,억원,원자료,0,"1,780.32",29.69,"7,109.87","6,689.06","6,757.09","1,419.92","1,292.31","1,261.63"
오염관리관련서비스업,"지속가능환경자원관련분석,자료수집및평가서비스업",환경부문 매출액,억원,원자료,0,"1,377.21",12.99,302.78,292.14,288.72,285.56,282.74,277.78
오염관리관련서비스업,환경연구개발관련서비스업,매출액,억원,원자료,"54,641.54","149,171.14","998,018.02","813,194.8","781,451.05","761,104.82","720,479.45","725,522.38","729,340.45"
오염관리관련서비스업,환경연구개발관련서비스업,환경부문 매출액,억원,원자료,"13,918.74","10,068.31","27,336.83","28,664.69","26,222.91","26,182.51","26,863.25","26,943.43","27,082.23"
오염관리관련서비스업,환경관련계약및엔지니어링서비스업,매출액,억원,원자료,"132,587.7","320,080.35","30,147.56","51,963.62","53,448.19","74,900.3","90,593.3","91,499","92,960.49"
오염관리관련서비스업,환경관련계약및엔지니어링서비스업,환경부문 매출액,억원,원자료,"16,152.14","11,404.79","8,965.64","9,934.15","10,179.69","10,271.06","10,404.57","10,539.4","10,748.8"
오염관리관련서비스업,"법무,교육서비스업",매출액,억원,원자료,0,"3,495.39",221.76,"8,864.1","7,992.58","12,513.73","13,714.02","15,031.32","14,649.55"
오염관리관련서비스업,"법무,교육서비스업",환경부문 매출액,억원,원자료,0,151.74,146.3,"3,580.58","3,226.88","3,212.7","3,281.31","3,351.28","3,302.37"
오염관리관련서비스업,"환경지식정보감시관련분석,자료수집및평가서비스업",매출액,억원,원자료,"319,817.66","102,568.82","5,273.07","57,191.71","57,087.55","36,177.06","41,928.22","44,402.47","44,908.49"
오염관리관련서비스업,"환경지식정보감시관련분석,자료수집및평가서비스업",환경부문 매출액,억원,원자료,"38,542.3","20,225.06","2,268.01","5,152.13","5,137.45","5,558.56","5,630.92","5,637.89","5,659.86"
자원관리관련제조업,소계,매출액,억원,원자료,"1,880,201.92","702,782.45","1,340,042.03","910,160.08","890,652.49","953,919.76","972,279.98","971,381.67","989,088.35"
자원관리관련제조업,소계,환경부문 매출액,억원,원자료,"258,203.74","207,577.18","293,591.24","230,610.09","233,023.2","227,992.05","229,031.53","231,549.31","232,992.86"
자원관리관련제조업,폐자원에너지화기기제조업,매출액,억원,원자료,"639,006.84","20,322.62","39,815.25","40,685.39","37,960.4","45,066.27","34,898.14","32,979.02","33,411.83"
자원관리관련제조업,폐자원에너지화기기제조업,환경부문 매출액,억원,원자료,"36,343.23","10,835.54","8,229","9,918.28","9,347.6","9,684.48","9,548.91","10,084.05","10,149.11"
자원관리관련제조업,재생용가공원료및재활용제품제조업,매출액,억원,원자료,"952,338.07","506,771.52","1,052,482.98","714,752.76","672,421.43","695,560.57","699,269.58","702,765.92","713,784.09"
자원관리관련제조업,재생용가공원료및재활용제품제조업,환경부문 매출액,억원,원자료,"113,574.82","132,242.96","150,804.34","139,727.11","132,722.99","133,546.47","133,412.91","132,745.46","134,608.07"
자원관리관련제조업,수도사업관련업,매출액,억원,원자료,"288,857.01","94,227.55","173,536.66","82,974.32","85,895.38","117,598.17","144,431.4","145,587.05","146,770.14"
자원관리관련제조업,수도사업관련업,환경부문 매출액,억원,원자료,"108,285.69","35,536.43","110,492.7","59,806.57","60,997.68","61,858.22","63,033.53","63,600.95","64,189.62"
자원관리관련제조업,실내공기질통제기기제조업,매출액,억원,원자료,0,"13,536.69","8,339.57","10,194.89","15,907.13","15,125.66","17,424.96","20,073.54","20,389.41"
자원관리관련제조업,실내공기질통제기기제조업,환경부문 매출액,억원,원자료,0,"6,797.93","4,403.42","3,241.83","4,026.17","3,391.02","3,465.36","3,541.52","3,589.41"
자원관리관련제조업,생물자원관리보전기기제조업,매출액,억원,원자료,0,"4,955.46","10,199.14","17,338.05","10,458.42","12,361.24","9,242.17","9,288.43","9,306.91"
자원관리관련제조업,생물자원관리보전기기제조업,환경부문 매출액,억원,원자료,0,"4,754.16","3,078.47","4,837.42","3,278.19","4,657.32","4,680.61","4,703.79","4,700.31"
자원관리관련제조업,산림관리기기제조업,매출액,억원,원자료,0,"20,954.45","16,747.58","25,295.97","17,740.38","28,847.16","28,256.27","27,690.82","27,848.13"
자원관리관련제조업,산림관리기기제조업,환경부문 매출액,억원,원자료,0,"9,137.6","4,783.55","8,715.65","4,914.79","8,958.18","8,976.1","8,975.13","9,011.47"
자원관리관련제조업,생물다양성및경관보호기기제조업,매출액,억원,원자료,0,"2,308.54","25,689.89","14,932","26,222.36","11,324.86","9,855.45","9,560.03","9,560.89"
자원관리관련제조업,생물다양성및경관보호기기제조업,환경부문 매출액,억원,원자료,0,"2,307.19","7,904.42","3,814.46","8,962.99","3,909.09","3,760.53","3,730.56","3,760.87"
