통계명,분류명,항목,자료구분,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"소관별 재정집행점검대상사업 집행현황","환경부","계획금액","원자료",0,0,0,0,0,0,0,"5,291,167,024","5,700,058,561","5,202,086,966","5,492,616,400","5,289,878,307","6,456,777,411","8,044,841,841","9,156,302,474",0,0
"소관별 재정집행점검대상사업 집행현황","환경부","집행금액","원자료",0,0,0,0,0,0,0,"4,850,554,511","5,461,522,821","5,021,441,160","5,364,716,026","5,088,949,325","6,360,034,627","7,739,545,359","8,913,847,822",0,0
"회계별 재정집행점검대상사업 집행현황","환경개선특별회계","계획금액","원자료",0,0,0,0,0,0,0,"3,901,921,418","4,147,710,410","3,545,707,607","3,645,967,154","3,527,424,972","3,795,997,468","5,032,969,690","5,788,115,580",0,0
"회계별 재정집행점검대상사업 집행현황","환경개선특별회계","집행금액","원자료",0,0,0,0,0,0,0,"3,546,074,646","4,010,422,062","3,446,372,015","3,536,329,419","3,435,870,730","3,740,974,860","4,862,396,335","5,740,637,437",0,0
"소관별 총사업비 관리 현황","환경부","총사업비","원자료",0,"4,841,282,000","4,885,561,000","3,008,872,000","2,902,252,000","2,200,520,000","2,547,439,000","1,585,429,000","1,338,869,000","1,369,165,000","1,815,923,000","7,195,850,000","7,452,878,000","8,007,248,000","8,854,919,000",0,0
