통계명,분류명,항목,자료구분,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"소관별 세출 결산 현황","환경부","이용및이체감액","원자료","-2,268,237","-3,235,528","-5,171,577","-2,689,811","-9,485,519","-846,316",0,0,0,"-16,938,298","-23,055,190","-4,597,835","-10,011,883","-82,742,282","-55,959,322",0,0
"소관별 세출 결산 현황","환경부","세출예산현액","원자료","4,974,028,313","5,551,300,209","7,703,820,121","7,515,368,131","8,468,252,744","8,108,396,453","9,282,071,154","9,514,291,402","10,250,376,445","10,196,795,412","9,877,186,686","9,908,064,431","12,815,338,873","14,759,705,514","30,100,682,575",0,0
"소관별 세출 결산 현황","환경부","지출금액","원자료","4,927,293,444","5,382,898,947","7,469,659,603","7,254,119,793","8,042,574,780","7,698,198,751","8,267,144,621","8,847,676,934","9,969,705,897","9,954,549,118","9,716,117,416","9,745,128,254","12,545,956,420","14,464,652,152","28,932,599,000",0,0
"소관별 세출 결산 현황","환경부","다음년도이월액","원자료","30,218,074","130,785,019","216,570,459","250,074,434","160,646,219","127,118,097","149,707,124","144,828,445","103,699,730","184,342,802","115,739,487","73,553,543","137,703,514","117,937,006","478,222,308",0,0
"소관별 세출 결산 현황","환경부","불용액","원자료","16,516,795","37,616,243","17,590,059","11,173,904","265,031,746","283,079,605","865,219,408","521,786,023","176,970,818","57,903,492","45,329,782","89,382,634","131,678,939","177,116,355","689,861,267",0,0
"회계별 세입/세출 결산 현황","환경개선특별회계","(세입)예산현액","원자료","2,896,672,000","3,130,911,688","4,117,170,682","3,965,057,381","4,271,463,911","4,363,959,000","4,825,012,557","4,877,040,139","5,126,714,000","5,034,981,808","5,031,200,204","4,793,967,025","5,807,508,000","6,523,079,000","7,548,495,000",0,0
"회계별 세입/세출 결산 현황","환경개선특별회계","(세입)수납금액","원자료","2,921,671,977","3,031,707,309","4,002,665,278","3,962,969,320","4,396,991,192","4,183,856,416","4,384,577,260","4,776,596,023","5,463,199,844","5,593,589,601","5,305,575,422","5,129,651,323","6,027,980,258","7,029,409,957","7,499,150,309",0,0
"회계별 세입/세출 결산 현황","환경개선특별회계","(세입)세입증감액","원자료","24,999,977","-99,204,379","-114,505,404","-2,088,061","125,527,281","-180,102,584","-440,435,297","-100,444,116","336,485,844","558,607,793","274,375,218","335,684,298","220,472,258","506,330,957","-49,344,691",0,0
"회계별 세입/세출 결산 현황","환경개선특별회계","(세출)예산현액","원자료","2,926,964,257","3,160,392,762","4,224,759,189","4,190,125,795","4,792,244,833","4,546,054,836","4,955,399,544","5,021,078,579","5,215,182,254","5,130,389,653","5,150,440,166","4,912,060,255","5,928,549,265","6,782,970,903","7,681,016,136",0,0
"회계별 세입/세출 결산 현황","환경개선특별회계","(세출)지출금액","원자료","2,883,629,388","3,025,015,500","3,990,274,470","3,928,877,457","4,366,584,869","4,171,752,557","4,322,321,578","4,634,771,144","5,041,232,507","4,971,524,809","5,013,914,389","4,769,625,092","5,732,627,753","6,607,990,006","7,212,903,390",0,0
"회계별 세입/세출 결산 현황","환경개선특별회계","(세출)세출증감액","원자료","43,334,869","135,377,262","234,484,719","261,248,338","425,659,965","374,302,278","633,077,966","386,307,436","173,949,747","158,864,844","136,525,777","142,435,163","195,921,512","174,980,897","468,112,746",0,0
"회계별 세입/세출 결산 현황","환경개선특별회계","(세출)다음년도명시이월액","원자료",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"회계별 세입/세출 결산 현황","환경개선특별회계","(세출)다음년도사고이월액","원자료","26,818,074","99,299,019","216,665,459","250,074,434","160,628,219","125,112,299","144,038,440","88,468,254","63,570,804","118,623,282","107,889,783","66,531,903","85,257,903","113,485,556","233,461,118",0,0
