통계명,분류명,항목,자료구분,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"소관별 물품관리운용보고서","환경부","당기증가금액","원자료","16,267,967","36,638,501","210,134,159","32,621,284","143,856,592","72,313,327","37,809,275","71,163,181","46,840,602","54,326,123","108,277,559","153,651,120","98,293,436","125,318,914","220,492,226",0,0
"소관별 물품관리운용보고서","환경부","당기감소금액","원자료","9,676,911","7,037,916","172,755,129","9,644,211","218,230,478","61,559,721","41,972,241","57,779,149","43,083,019","47,899,229","58,289,888","66,049,337","98,030,312","86,033,321","107,904,093",0,0
"소관별 물품관리운용보고서","환경부","당기기말금액","원자료","112,526,919","142,127,503","179,506,534","202,483,606","128,109,720","138,863,326","134,700,361","148,084,392","151,841,976","158,268,869","208,256,540","295,858,323","296,121,446","335,407,039","447,995,172",0,0
"소관별 물품 증감 현황","환경부","실적금액","원자료","6,591,056","29,600,585","37,379,030","22,977,072","-74,373,886","10,753,606","-4,162,966","13,384,032","3,757,583","6,426,893","49,987,671","87,601,782","263,123","39,285,593","112,588,133",0,0
"회계별 물품관리운용보고서","환경개선특별회계","당기증가금액","원자료","16,267,967","36,638,501","210,153,180","32,621,284","143,856,592","71,825,747","36,697,713","68,821,557","45,394,450","45,300,453","99,045,027","62,228,777","76,540,610","114,361,038","147,235,998",0,0
"회계별 물품관리운용보고서","환경개선특별회계","당기감소금액","원자료","9,676,911","7,037,916","172,758,279","9,644,211","218,246,349","61,537,782","41,667,631","56,499,862","42,031,443","43,946,006","56,596,475","55,198,293","76,134,063","66,474,108","70,658,107",0,0
"회계별 물품관리운용보고서","환경개선특별회계","당기기말금액","원자료","112,526,919","142,127,503","179,522,405","202,499,477","128,109,720","138,397,685","133,427,767","145,749,462","149,112,469","150,466,916","192,915,468","199,945,952","200,352,499","248,239,428","324,817,319",0,0
"회계별 물품 증감 현황","환경개선특별회계","실적금액","원자료","6,591,056","29,600,585","37,394,902","22,977,072","-74,389,757","10,287,965","-4,969,918","12,321,695","3,363,007","1,354,447","42,448,552","7,030,484","406,547","47,886,930","76,577,891",0,0
