분류,분류.1,항목,단위,통계자료,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
오염관리관련서비스업,"물관련분석,자료수집및평가서비스업",투자액,억원,원자료,0,330.73,"2,121",918.33,946.01,911.17,971.11,"1,035.05","1,031.98"
오염관리관련서비스업,"물관련분석,자료수집및평가서비스업",환경부문 투자액,억원,원자료,0,249.78,504.26,491.81,503.62,493.27,502.53,511.94,501.91
오염관리관련서비스업,"토양,지표수,지하수개선및정화관련서비스업",투자액,억원,원자료,881.48,689.8,120.21,758.85,794.58,735.19,765.99,798.05,773.32
오염관리관련서비스업,"토양,지표수,지하수개선및정화관련서비스업",환경부문 투자액,억원,원자료,213.88,129.56,80.07,94.55,98.43,106.56,108.93,111.35,103.33
오염관리관련서비스업,"환경복원및복구관련분석,자료수집및평가서비스업",투자액,억원,원자료,0,779.51,34.73,113.61,104.35,111.82,118.27,125.06,118.53
오염관리관련서비스업,"환경복원및복구관련분석,자료수집및평가서비스업",환경부문 투자액,억원,원자료,0,535.3,20.44,21.86,19.87,21.33,23.25,25.29,24.32
오염관리관련서비스업,"기후대응관련분석,자료수집및평가서비스업",투자액,억원,원자료,0,26.08,"1,202.32",27.9,105.5,28.5,29.57,30.71,31.62
오염관리관련서비스업,"기후대응관련분석,자료수집및평가서비스업",환경부문 투자액,억원,원자료,0,9.61,"1,187.71",10,43.12,10.23,10.95,11.72,12.04
오염관리관련서비스업,대기오염통제관련서비스업,투자액,억원,원자료,17.83,124.35,288.83,113.35,26.5,115.49,115.66,115.82,113.26
오염관리관련서비스업,대기오염통제관련서비스업,환경부문 투자액,억원,원자료,17.83,117.88,78.89,46.36,9.32,41.34,42.65,44.01,43.07
오염관리관련서비스업,"대기관련분석,자료수집및평가서비스업",투자액,억원,원자료,0,405.73,112.13,331.49,350.73,370.55,378.94,387.56,388.35
오염관리관련서비스업,"대기관련분석,자료수집및평가서비스업",환경부문 투자액,억원,원자료,0,323.29,107.69,123.97,131.88,123.53,117.86,112.41,118.29
오염관리관련서비스업,환경보건대응서비스업,투자액,억원,원자료,0,"3,757.74",362.93,443.87,423.11,453.09,487.52,524.59,558.15
